HABER;ETİKET
"ABD Ulusal Havacılık ve Uzay Ajansı (NASA) tarafından Güneş'i daha yakından incelemek için geliştirilen ""Parker Solar Probe"" uzay keşif aracı, hem yıldıza en yakın konuma başarıyla ulaştı hem de kendi hız rekorunu kırarak tarihe geçti.";1
Güney Kore, SpaceX tarafından üretilen Falcon 9 roketinin taşıdığı üçüncü casus uydusunun başarıyla uzaya gönderildiğini duyurdu.;1
Çin Bilimler Akademisinden (CAS) bilim insanları, Çang'ı-6 misyonuyla görünmeyen karanlık yüzünden getirilen toprak örneklerini inceleyerek geçmişte Ay'ın manyetik alan değişimiyle ilgili ilk bilgileri elde etti.;1
"Baykar Yönetim Kurulu Başkanı Selçuk Bayraktar, ""Ülkemiz artık insansız hava araçları alanında dünyanın bir anlamda lideri konumuna gelmiş durumda. Dünya SİHA pazarının yüzde 65'i Türkiye'nin."" dedi.";1
Avrupa Birliği'nde (AB) sosyal medya kullanımında yaş sınırı 13 ile 16 arası olarak belirlenirken üzerinde çalışılmaya devam edilen birçok projenin yanı sıra Avrupa Dijital Kimlik Cüzdanı sayesinde kullanıcıların yaşlarının kanıtlanması hedefleniyor.;1
TÜBİTAK BİLGEM Siber Güvenlik Enstitüsü bünyesindeki SİBERLAB ile yeni siber güvenlik araçları test edilebiliyor, bu alandaki senaryolar simüle edilerek, muhtemel krizlere karşı kullanıcıların yetenekleri artırılıyor;1
"Türk teknoloji şirketi, yerli imkanlarla geliştirilen ""masaüstü sanallaştırma çözümü"" ile bilgisayar temini nedeniyle ülkede oluşan harcamada 900 milyon dolarlık bir tasarruf hedefliyor.";1
İsviçre Merkez Bankası (SNB), politika faizini, ekonomiye destek için beklenmedik şekilde 50 baz puan düşürerek, gelişmiş ülkeler arasındaki politika faizi gevşeme döngüsündeki öncü konumunu korudu.;1
"""Türkiye'nin ilk milli silahlı insansız hava aracı (SİHA)"" ve ""en fazla ülke tarafından tercih edilen SİHA"" ünvanlarına sahip Bayraktar TB2, 1 milyon uçuş saatini aşarak yeni bir rekora imza attı.";1
Huawei, geliştirdiği HarmonyOS NEXT işletim sistemi ile şirkete 2019'dan bu yana uygulanan yaptırımlar sonrası dışa bağımlılığı azaltma yolunda önemli bir adım attı.;1
Türkiye'de 2023 yılında biyoteknoloji faaliyeti yürüten girişim sayısı 687'ye yükselirken, bu girişimlerin AR-GE harcamalarına ayırdığı tutar 2 milyar 493 milyon liraya ulaştı.;1
Türkiye'de geçen yıl itibarıyla işletmelerin yüzde 17,5'i yapay zekadan yararlanırken bu teknolojinin en çok kullanıldığı alanlar yüzde 53 ile müşteri ilişkileri ve pazarlama oldu.;1
"SpaceX'in sahibi Amerikalı milyarder Elon Musk, ""karmaşık sistemleri ve fazla maliyetli olmaları"" nedeniyle modern savaş uçaklarını eleştirerek bunların yerini, insansız hava araçlarının (İHA) alması gerektiğini savundu.";1
ABD'li e-ticaret devi Amazon, yapay zeka şirketi Anthropic'e 4 milyar dolar daha yatırım yapacağını duyurdu.;1
Avrupa Uzay Ajansının gözlem uydusu Solar Orbiter'in çektiği Güneş'in görünür yüzeyinin şimdiye kadarki en yüksek çözünürlüklü görüntüleri yardımıyla, yıldızın manyetik alanının ve yüzey hareketlerinin ayrıntılı haritası çıkarıldı.;1
Türk savunma sanayisi bünyesinde geliştirilen silahlı insansız hava araçları (SİHA), yerli motorlardan aldıkları güçle dünya havacılık tarihine geçen başarılara imza atıyor.;1
Geçmişten bugüne önemli iletişim ve eğlence araçlarından biri olan televizyon, küresel izleme alışkanlıklarının değişmesi ve gitgide azalan yatırımlar nedeniyle yerini dijital platformlara bırakıyor.;1
Nijeryalı yönetmen ve yapımcı Malik Afegbu, internet erişimiyle beraber sinema, sosyal medya ve yapay zeka kullanımı konusunda Nijeryalı gençlerin tüm sınırları aştığını belirtti.;1
"Tarih öncesi dönemde bolluğun ve bereketin sembolü, koruyucusu olduğuna inanılan mermerden yapılmış ""ana tanrıça"" Kibele'nin heykeli, Afyonkarahisar Müzesi'ne ziyaretçi çekiyor.";1
"Osmanlı padişahlarından 4. Mehmed'in annesi Valide Hatice Turhan Sultan'ın vakıf eseri olan Seddülbahir Kalesi, dünyanın en popüler tasarım dergilerinden Dezeen'in düzenlediği yarışmada ""Miras Projesi"" dalında ödüle layık görüldü.";1
Gladyatör 2'de, önemli kadın karaktere hayat vermesi planlanan Calamawy'nin sahnelerinin, İsrail'in Gazze'ye yönelik saldırılarına karşı sergilediği duruş ve Filistin'e verdiği açık destek nedeniyle neredeyse tamamen kesilmesi büyük tepki topladı.;1
"Dünya prömiyerini 80. Venedik Film Festivali'nde yapan ve birçok festivalden ödülle dönen TRT ortak yapımı ""Tereddüt Çizgisi"" filmi, Atlas 1948 Sineması'nda özel gösterimle izleyiciyle buluştu.";1
İtalya'nın başkenti Roma'nın simge yapılarında bir süredir devam eden restorasyon ve kent merkezinde süren altyapı ve inşaat çalışmaları, tarihi ve doğal güzellikleriyle adeta bir açık hava müzesi olarak nitelendirilen kente şantiye görünümü veriyor.;1
"Yönetmen Faysal Soysal'ın üçüncü uzun metraj film projesi ""Rahma"", Vietnam'da ödül kazandı.";1
Anadolu Ajansının (AA) düzenlediği uluslararası haber fotoğrafı yarışması İstanbul Photo Awards'un 10. yıl sergisi, New York'ta ikinci kez sanatseverlerin beğenisine sunuldu.;1
2024 Dünya Rallikros Şampiyonası'nın İstanbul'da düzenlenen 9. ayağındaki eleme yarışları sonucunda İsveçli Johan Kristoffersson, şampiyonluğa ulaştı.;1
Fransa’nın ev sahipliğinde yapılacak 2024 Paris Olimpiyat Oyunları’nda ülkesini temsil edecek Fransız koşucu Sounkamba Sylla’nın açılış törenine başörtüsü ile katılmasına izin verilmemesi tepki çekti.;1
Avrupa basını, 2024 Avrupa Futbol Şampiyonası (EURO 2024) son 16 turu maçında Avusturya'yı 2-1 mağlup ederek çeyrek finale yükselen A Milli Takım'ın zaferine geniş yer ayırdı.;1
"Hava durumu tahminleri, Paris'te 26 Temmuz-11 Ağustos'ta tarihindeki ""en sıcak Olimpiyat Oyunları'nın"" düzenlenebileceğine işaret ederken bu koşulların sporcuların performansı ve sağlığı üzerinde olumsuz etkilerinin olabileceği değerlendiriliyor";1
2024 Avrupa Futbol Şampiyonası (EURO 2024) D Grubu ilk maçında yarın Polonya ile karşılaşacak Hollanda, son 45 yılda rakibine kaybetmedi.;1
Real Madrid forması ile ligde 6. golünü atan Arda Güler, en az dakikada en fazla gol atan futbolcu oldu.;1
İngiltere Premier Lig'in son haftasında West Ham United'ı 3-1 yenen Manchester City, şampiyon oldu.;1
İspanya 1. Futbol Ligi'nde (La Liga) 2023-2024 sezonunun şampiyonu Real Madrid oldu.;1
E-ticaret platformlarında etkin şekilde kullanılan ve geçen yıl 5,39 milyar dolar pazar büyüklüğüne ulaşan yapay zeka tabanlı chatbotlar, 7 gün 24 saat e-ticaret kullanıcılarının sorularını yanıtlayarak müşteri memnuniyetinin artmasını sağlıyor.;1
Türkiye ve Arap ülkelerinin Suriye’nin yeni döneminde kuracağı ortaklık, bölgenin yeniden inşası ve uluslararası sisteme entegrasyonu açısından hayati bir öneme sahiptir.;1
"Putin’in ""Direkt Hat"" programındaki ifadeleri, Rusya’nın Suriye’deki askeri üslerini koruma niyetini ortaya koyarken, bu sürecin bölgesel dinamikler ve yeni hükümetle kurulacak ilişkilere bağlı olduğuna işaret ediyor.";1
Blinken'ın ziyareti, ABD'nin Türkiye ile Suriye'deki yeni dönem konusunda işbirliği arzusunu açıkça ortaya koysa da, Türkiye'nin elinin her zamankinden daha güçlü olduğu bir dönemde bu işbirliğinin koşullarını Türkiye belirleyecek gibi görünüyor.;1
Devrik Baas rejiminin farklı dönemlerinde, baba ve oğul Esed yönetimi altında fiziksel ve psikolojik işkence uygulamaları artış gösterdi.;1
1947’den itibaren izlenen çizgiyi ve 8 Ekim 2023’ten bu yana Batı dünyasının benimsediği politikaları üst üste koyduğumuzda, Netanyahu ya da İsrail’i izole edecek topyekun bir uluslararası siyasetten söz etmek hala mümkün değil.;1
Güney Kıbrıs Rum Yönetimi'nin NATO üyesi olmayı istemesinin altında yatan gerçek ise Ada’nın yeniden birleştirilmesi ve Rumların egemenliğinde yeni bir devletin kurulması arzusudur.;1
Esed'in seçenekleri azalıyor çünkü ordusu dağılıyor, üstelik çok ihtiyaç duyduğu Rus hava ve İran kara desteğinden de yoksun. ABD ve Rusya için ise Suriye artık yapılacaklar listesinin ilk sırasında yer almıyor.;1
Türkiye her ne kadar son yaşanan askeri tırmanmanın doğrudan tarafı olmasa da ortaya çıkan sonuçlar açısından avantajlı bir konum elde etmiştir. Türkiye’nin Suriye’de artan gücü, Suriye’de etkili aktörler karşısında pazarlık gücünü artıracaktır.;1
ASELSAN ile Savunma Sanayii Başkanlığı arasında Hava Savunma Radar Sistemleri tedariki kapsamında toplam bedeli 170 milyon 970 bin 527 dolar ve 1 milyar 954 milyon 398 bin 891 lira tutarında sözleşme imzalandı.;1
Ticaret Bakanlığı, elektronik ticarette (e-ticaret) belirlenen esasların ihlali durumunda uygulanacak idari para cezalarını yeniden değerleme oranında artırdı.;1
Ticari ithalat maksadı dışında yurt dışından getirilecek televizyon, radyo, cep telefonu gibi cihazlar için 2025 yılında tahsil edilecek bandrol bedellerinde değişikliğe gidilmedi.;1
"Ticaret Bakanı Ömer Bolat, ""Suriye'de yeni yönetimin de ülkeyi ayağa kaldırması noktasında Türk sanayicileri ve imalatçıları, ihracatçıları olarak, yatırımcılar olarak, hep birlikte bir takım çalışması yapacağız."" dedi.";1
"Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, ""Pilot uygulama sonuçlarının ardından bu hizmeti tüm gar ve istasyonlarımızda yaygınlaştırmayı hedefliyoruz."" ifadesini kullandı.";1
Alman Ekonomi Enstitüsü (IW), Alman iş dünyası derneklerinin pahalı enerji, artan maliyet ve düşen ihracatın etkisiyle mevcut durumlarını bir yıl öncesine göre daha kötü gördüklerini ve gelecek yıl için karamsarlıklarını koruduklarını bildirdi;1
"Tarım ve Orman Bakanı İbrahim Yumaklı, suyu verimli kullanan faaliyetlere yönelik ""mavi"", ""yeşil"" ve ""turkuaz"" olmak üzere üç farklı seviyede su verimliliği belgesi verileceğini bildirerek, ""Sürdürülebilir su yönetimini teşvik edeceğiz."" dedi.";1
Avrupa Birliği (AB) ülkeleri çeşitli ekonomik sorunlar yaşarken ABD'de başkanlık koltuğuna oturacak Donald Trump'ın uygulaması beklenen korumacı ticaret politikalarının de Avrupa'yı zorlayacağı öngörülüyor.;1
"QNB Türkiye Genel Müdürü Ömür Tan, 2024'ü güçlü ve karlı bir büyüme ile kapatacaklarını belirterek, ""2025'te sektörden ve özel bankalardan daha fazla büyüyerek pazar payı kazanmaya devam etmeyi amaçlıyoruz."" dedi";1
Ankara Ticaret Odası (ATO) Başkanı Gürsel Baran, Türkiye'nin yeni yılda ihracatını artırmak için yeni pazar ve ürünlere odaklanması gerektiğini belirtti.;1
"Hazine ve Maliye Bakanı Şimşek, uygulanan reeskont kredi limitinin günlük 300 milyon TL'den 4 milyar liraya yükseltildiğini belirterek ""Rekabet gücümüzü ve verimliliği artırmak için katma değerli üretimi ve ihracatı desteklemeye devam edeceğiz"" dedi.";1
Sudan Tarım Bakanı Ebubekir Ömer el-Büşra, Entegre Gıda Güvenliği Aşama Sınıflandırması'nın (IPC) ülkedeki gıda güvenliği durumunu kıtlık olarak tanımlanmasını kabul etmedi.;1
İngiltere Başbakanlık kaynakları, Suriye'nin devrik lideri Beşşar Esed'in İngiliz vatandaşı eşi Esma Esed'in seyahat yaptırımı uygulanan bir şahıs olduğunu ve İngiltere'ye giremeyeceğini ifade etti.;1
Rusya Devlet Başkanı Vladimir Putin ile Azerbaycan Cumhurbaşkanı İlham Aliyev, Rus hava sahasındayken yerden açılan ateşle hasar gören ve Kazakistan'ın Aktau kenti yakınlarında düşen uçakla ilgili konuları görüştü.;1
Belçika, insan sağlığına ve çevreye olumsuz etkileri nedeniyle 1 Ocak'tan itibaren tek kullanımlık elektronik sigara satışını yasaklayacak.;1
Gürcistan'da, 300 kişilik komisyon tarafından 14 Aralık'ta ülkenin 6. cumhurbaşkanı seçilen Mikheil Kavelaşvili, yemin ederek görevine başladı.;1
"Kuzey Kore lideri Kim Jong-un, ABD'nin seçilmiş başkanı Donald Trump'ın görevine başlamasına yaklaşık 1 ay kala, ""en sert"" ABD karşıtı stratejinin hayata geçirileceğini belirtti.";1
"Elon Musk'ın, Die Welt'in pazar günü gazetesi Welt am Sonntag'da yayımlanan ve aşırı sağcı Almanya için Alternatif (AfD) partisini ""Almanya için son umut kıvılcımı"" olarak nitelendirdiği konuk makalesi, ülkede tartışmaya yol açtı.";1
İtalya'da, Dışişleri Bakanlığı ve iki havalimanı dahil bazı resmi kurumların internet siteleri, Rusya yanlısı bilgisayar korsanları tarafından hedef alındı.;1
İsrail ordusu, Gazze Şeridi'nde El-Ehli Baptist Hastanesi ile yaşlıların barınma ve bakımı için hizmet veren Vefa Hastanesi'ni bombaladı.;1
"Vltava Nehri üzerindeki tarihi köprü Noel zamanında ""lamba yakıcı"" ünvanı verilen görevli tarafından üzerindeki gaz lambalarının yakılmasıyla görsel şölen oluşturuyor.";1
Kanada'nın St. John's kentinden Halifax kentine gitmek üzere yola çıkan uçağın sol tarafı, Halifax Uluslararası Havalimanı'na inişi sırasında alev aldı.;1
ABD'nin seçilmiş başkanı Donald Trump, vasıflı göçmenlere ABD'de çalışma imkanı tanıyan H1-B vizesine desteğini kamuoyuyla paylaştı.;1
Güney Kore'nin Muan şehrinde yolcu uçağının inişte kontrolden çıkması sonucu meydana gelen kazada 179 kişinin hayatını kaybettiği bildirildi.;1
Kazakistan Cumhurbaşkanı Kasım Cömert Tokayev ile Rusya Devlet Başkanı Vladimir Putin, Aktau kenti yakınlarında Azerbaycan Hava Yollarına (AZAL) ait uçağın düşmesine ilişkin yapılan soruşturmayı telefonda görüştü.;1
Suriye Tıbbi Destek ve Yardım Organizasyonları Birliği (UOSSM), 13 yıl boyunca devam eden savaş şartları altında hayat kurtarmak ve insanları tedavi etmek için çalışan doktorlara plaket takdim etti.;1
Birleşik Arap Emirlikleri (BAE), Türkiye'nin Sudan'daki krize çözüm bulmaya yönelik diplomatik çabalarını memnuniyetle karşıladığını ve bu konuda Ankara ile işbirliği ve koordinasyon yapmaya hazır olduğunu açıkladı.;1
AB Dış İlişkiler ve Güvenlik Politikası Yüksek Temsilcisi Kallas, Kazakistan'da düşen Azerbaycan uçağı için hızlı ve bağımsız bir uluslararası soruşturma çağrısında bulundu.;1
ABD Hazine Bakanı Janet Yellen, borç limitine 14-23 Ocak arasında ulaşılacağının öngörüldüğünü belirterek, Kongreye harekete geçme çağrısında bulundu.;1
Suudi Arabistan'ın Yemen hükümetine toplam 500 milyon dolar destek vereceği belirtildi.;1
Avrupa Birliği (AB), Dijital Pazar Yasası çerçevesinde Apple'a karşı daha fazla önlem almaya hazırlanıyor.;1
Güney Kore'nin güneyindeki Muan Havalimanı'na iniş yapan Boeing 737-800 tipi Jeju Air uçağı, bilinmeyen bir nedenle pistten çıkarak duvara çarptı.;1
"Dünya prömiyerini 80. Venedik Film Festivali'nde yapan ve birçok festivalden ödülle dönen TRT ortak yapımı ""Tereddüt Çizgisi"" filmi, Atlas 1948 Sineması'nda özel gösterimle izleyiciyle buluştu.";1
Dünya nüfusunun neredeyse yarısı, geçen yıl yapılan seçimlerde oy kullansa da, kadınların siyaset alanındaki temsiliyeti sekteye uğradı. Seçim sonuçlarının açıklandığı ülkelerin yüzde 60'ında seçilen kadın vekil sayısı azaldı.;1
2024, dünya nüfusunun yaklaşık yarısının sandık başına gittiği bir yıl oldu.;1
ABD'de Donald Trump yeniden başkan seçildi.;1
Adalet ve Kalkınma Partisi (AKP) iktidara geldiği 2002'den bu yana ilk kez sandıktan birinci parti çıkmadı.;1
Cumhuriyet Halk Partisi (CHP) 1977 yılından bu yana ilk kez birinci parti oldu.;1
İsrail'in Gazze ve Lübnan'daki operasyonları devam ederken Hamas ve Hizbullah'ın üst düzey yönetim kadroları çeşitli saldırılarda öldürüldü.;1
Dünya, 2024'e Japonya'nın Noto Yarımadası'nda meydana gelen 7,6 büyüklüğündeki depremle girdi. 1 Ocak'ta meydana gelen deprem sonucu 241 kişi hayatını kaybetti, 1286 kişi yaralandı.;1
Ocak ayında pilot Alper Gezeravcı, Türkiye'nin ilk astronotu oldu.Gezeravcı, Uluslararası Uzay İstasyonu'ndaki görevini tamamlayarak Türkiye'ye dönmesi sonrası Türkiye Uzay Ajansı Yönetim Kurulu üyeliğine atandı.;1
Türkiye Cumhuriyet Merkez Bankası Başkanı Hafize Gaye Erkan görevden alındı, yerine Fatih Karahan atandı.;1
6 Şubat Kahramanmaraş depreminde resmi verilere göre 53 binden fazla kişi hayatını kaybetmiş, 107 binden fazla kişi de yaralanmıştı.;1
22 Mart'ta Rusya'da başkent Moskova'da Crocus City Hall adlı konser salonunda düzenlenen saldırıda 145 kişi hayatını kaybetti.;1
İsrail, 1 Nisan'da Suriye'nin başkenti Şam'da İran Büyükelçili'ni bombaladı.Saldırıda, büyükelçiliğinin bitişiğindeki İran Konsolosluğu'nun ek binası yerle bir oldu. Devrim Muhafızları'nın üst düzey Kudüs Gücü'nün komutanı Tuğgeneral Muhammed Rıza Zahidi ve diğer yedi Devrim Muhafızı subayı dahil 16 kişi öldü.;1
"İsrail; ABD, İngiltere ve Ürdün'ün yardımlarıyla İran saldırısının başarısızlıkla sonuçlandığını açıkladı.";1
Basketbolda Fenerbahçe Alagöz, Kadınlar EuroLeague finalinde Fransız temsilcisi Villeneuve d'Ascq LM'yi 106-73 yendi ve üst üste ikinci kez Avrupa Şampiyonu oldu.;1
19 Mayıs'ta İran Cumhurbaşkanı İbrahim Reisi'yi taşıyan askeri helikopter, Azerbayca sınırındaki Culfa kasabası yakınlarında düştü.;1
İranlı yetkililer Reisi'yi taşıyan helikopter enkazının 'iran İHA'larıyla bulunduğunu'  açıkladı.;1
Futbolda Galatasaray, Süper Lig'de 38 maçta topladığı 102 puanla 24'üncü kez şampiyon oldu.;1
Basketbolda Fenerbahçe Beko, Almanya'nın başkenti Berlin'de düzenlenen Turkish Airlines EuroLeague'de Panathinaikos ve Olympiakos'a yenilerek dördüncü oldu.;1
Futbolda Türkiye, Avrupa Futbol Şampiyonası'nda (EURO 2024) çeyrek final oynadı. F Grubu'nu 3 maçta 6 puanla 2. sırada tamamlayan Ay Yıldızlılar, son 16 turunda Avusturya'yı 2-1 yendi, çeyrek finalde Hollanda'ya aynı skorla yenildi.;1
Finalde İngiltere'yi 2-1 yenen İspanya, 2008 ve 2012'den sonra tarihinde üçüncü kez Avrupa şampiyonu oldu.;1
Hamas, lideri İsmail Haniye'nin İsrail'in Tahran'da düzenlediği saldırıda çldüğünü açıkladı.;1
Türkiye'de ağustos ayında Instagram'a bir süre Bilgi Teknolojileri ve İletişim Kurumu (BTK) tarafından erişim engeli getirildi.;1
Türkiye, 2024 Olimpiyat Oyunları'nı üçü gümüş, beşi bronz olmak üzere sekiz madalya ile tamamladı.;1
Türkiye A Milli Kadın Voleybol Takımı, 2024 Paris Olmpiyat Oyunları'nda dördüncü oldu.;1
112. yaş gününü kutlayan dünyanın en yaşlı adamı John Tinniswood 26 Kasım'da hayatını kaybetti.;1
